#Question Ref.,Reporting Requirement,Definitions,Department
5.3,"Are the premises / offices of the entity accessible to differently abled employees and workers, as per the requirements of the Rights of Persons with Disabilities Act, 2016? If not, whether any steps are being taken by the entity in this regard.","Accessibility refers to physical accessibility such as wheelchair ramps, braille signage and accessible restrooms, and digital accessibility, where information and communication technology is accessible to all and/or compatible with assistive technology devices.
The entity shall disclose whether the organization's premises/office spaces are accessible to differently-abled employees & workers, as per the requirements of the Rights of Persons with Disabilities Act, 2016 or not. 
The entity is required to disclose the actions being taken by it ensure such compliance.",Human Resource
5.4,"Does the entity have an equal opportunity policy as per the Rights of Persons with Disabilities Act, 2016? If so, provide a web-link to the policy. ","Freedom from discrimination is a human right & a fundamental right at work. Discrimination can impose unequal burdens on individuals or deny fair opportunities on the basis of individual merit.The entity shall disclose whether it has an equal opportunity policy & also share the 
weblink of the policy.",Human Resource
5.5,Return to work and Retention rates of permanent employees and workers that took parental leave (Separately for Male & Female),"1. Parental leave refers to maternity and paternity leave. 2. The entity shall use the following formulas to calculate return to work rate, for each category of employee (male / female / others): (Total number of employees that did return to work after parental leave in the reporting period * 100)/ (Total number of employees due to return to work after taking parental leave in the reporting period) = Return to work rate 3. Retention rate determines who returned to work after parental leave ended and were still employed 12 months later. It shall be calculated using the following formula: (Total number of employees retained 12 months after returning to work following a period of parental leave * 100)/ (Total number of employees returning from parental leave in the prior reporting period)",Human Resource
5.6,"Is there a mechanism available to receive and redress grievances for the following categories of employees and worker? If yes, give details of the mechanism in brief.
- Permananet Workers
- Other than permanent workers
- Permanent Employees
- Other than permanent employees","Gives an overview of whether there exists a channel for an employee to voice his/her concern over any grievances & how the entity resolves them in order to ensure that the organization can provide for or cooperate in the remediation of negative impacts that it identifies it has caused or contributed to.
The entity shall disclose whether there is a grievance redressal mechanism in place for permanent as well as contractual employees & workers. Also, the entity shall share the details of the Grievance Redressal Mechanism for permanent & temporary employees & 
workers in brief.",Human Resource
5.7,"Membership of permanent employees and worker (separetly for male and female) in association(s) or Unions recognised by the listed entity for current and previous FY.
- Total employees / workers in respective category
- No. of employees / workers in respective category, who are part of association(s) or Union",Gives insights into whether or not the employees' freedom of association & collective bargaining is respected by the entity. Data from both the previous & the current year improves comparability & transparency.The entity shall disclose number & percentage of employees as well as workers on basis of gender & in totality as members of associations/unions. ,Human Resource
5.8,"Details of training given to number of employees and workers for current and previous FY with bifurcation of Male / Female and Employee / Workers.
- On Health and safety measures 
- On Skill upgradation","This disclosure indicates the proportion of the employees & workers that can reasonably be assumed to have been sensitized to the importance of human rights. Also it gives an insight about an entity’s policy commitments for responsible business conduct, including the commitment to respect human rights.
1. Training on health and safety can include 
general training on health and safety as well 
as training on specific work-related hazards, 
hazardous activities, or hazardous situations. It can also include training on mental health.
2. Training programs on skill upgradation can include both internal training courses andfunding support for external training or 
education",Human Resource
5.9,Details of performance and career develoment review to number of employees and workers for current and previous FY with bifurcation of Male / Female and Employee / Workers.,"Regular performance & career development reviews can also enhance employee satisfaction, which correlates with improved organizational performance. Regular performance & career development review refers to review based on criteria known to the employee / worker & his or her superior. This disclosure measures the extent to which an organization regularly appraises employee performance. Such a review is undertaken with the knowledge of the employee. The entity shall disclose no. & % of employees & workers whose performance & career development reviews have been conducted by the entity for current & previous FYs. ",Human Resource
5.1,"a. Whether an occupational health and safety management system has been implemented by the entity? (Yes/ No). If yes, the coverage such system? 
b. What are the processes used to identify work-related hazards and assess risks on a routine and non-routine basis by the entity? 
c. Whether you have processes for workers to report the work related hazards and to remove themselves from such risks. (Y/N)
d. Do the employees/ worker of the entity have access to non-occupational medical and healthcare services? (Yes/ No)","1. Occupational health and safety risk refers to the combination of the likelihood of occurrence of a work-related hazardous situation or exposure, and the severity of injury or ill health that can be caused by the situation or exposure. An occupational health and safety system is a systematic approach to manage such risks. 2. The listed entity shall disclose the processes used to identify work-related hazards and assess risks on a routine and non-routine basis. Work-related hazards refer to a source or situation with the potential to cause injury or ill health.",Human Resource
5.11,"Details of safety related incidents (separetely for employee and workers), in the following format for current and previous FY:
- Lost Time Injury Frequency Rate (LTIFR) (per one million-person hours worked)
- Total recordable work-related injuries
- No. of fatalities
- High consequence work-related injury or ill-health (excluding fatalities)","1. The listed entity shall calculate the Lost Time Injury Frequency Rate (LTIFR) as follows: (No. of lost time injuries in FY x 1,000,000) / (Total hours worked by all staff in same FY) 2. Lost time is an indicator of the loss of productivity for an organization as a result of a work-related injury or ill-health. Work related injury and ill-health arise from exposure to hazards at work and are directly related to performance of work-related tasks. 3. Recordable work-related injury or ill-health results in any of the following: death, days away from work, restricted work or transfer to another job, medical treatment beyond first aid, or loss of consciousness. Under this disclosure, the listed entity shall disclose the total number of employees / workers affected by work-related injuries or ill-health, across all incidents during the reporting period and the prior year. In case the same employee or worker is injured multiple times, say thrice, in separate incidents, the same shall be reported as 3. 4. The entity shall report the report the number of fatalities of employees / workers during the reporting period and the prior year, as a result of work-related injury",Human Resource
5.12,Describe the measures taken by the entity to ensure a safe and healthy work place,"1.Under this disclosure, the entity shall reportthe  measures taken to prevent or mitigate significant negative health and safety 
impacts that are directly linked to its operations, products or services. Also indicate whether these measures are taken 
for a specific set of activities, employees / workers or facilities of the entity",Admin
5.13,"Number of Complaints on the ""Working condtion"" and ""Health & Saftey"" made by employees and workers in current and previous FY:
- Filed during the year
- Pending resolution at the end of year
- Remarks (if any)","Gives insights into the attentiveness of the entity toward the working environment, how effective their grievance redressal system is, data from both the year improves comparability & transparency.The entity shall disclose number of complaints relating to working conditions as well as on health & safety as under for the current as well as previous financial years:
• Filed during the year
• Pending resolution at the year end
• Remarks",Human Resource
5.14,"Assessments for the year on ""Health and safety practices"" and "" Working Conditions"" in terms of % of your plants and offices that were assessed (by entity or statutory authorities or third parties)","The entity shall disclose the percentage of plants/offices assessed with respect to health & safety practices as well as working conditions, separately, along with the details of the Assessing party.",Human Resource
5.15,Provide details of any corrective action taken or underway to address safety-related incidents (if any) and on significant risks / concerns arising from assessments of health & safety practices and working conditions.,"This disclosure gives an overview of the efforts taken by an entity to protect its workers & employees from health & safety related risks, & shows the commitment of a entity towards the protection & well-being of its employees.Shall share a brief of assessment results as per question No. 14 along with details of any/all 
corrective actions underway/taken.",Human Resource
5.16,Does the entity extend any life insurance or any compensatory package in the event of death of (A) Employees (Y/N) (B) Workers (Y/N).,Gives an overview of whether or not the entity is concerned about protecting the employees / workmen & their dependents in case they meet any accident or injury while working in the organization.The entity can disclose in Yes/No format whether it has such policy.,Human Resource
5.17,Provide the measures undertaken by the entity to ensure that statutory dues have been deducted and deposited by the value chain partners,"It gives insights into whether or not the entity’s value chain partners comply with the statutes & legal requirements.The Entity may disclose if it has a procurement policy in place w.r.t. value chain partners 
which inter alia provides for a checklist comprising abovementioned condition.",Finance
5.18000000000001,"Provide the number of employees / workers having suffered high consequence work related injury / ill-health / fatalities (as reported in Q11 of Essential Indicators above), who have been are rehabilitated and placed in suitable employment or whose family members have been placed in suitable employment for Current & Previous FY:
- Total no. of affected employees/ workers
- No. of employees/workers that are rehabilitated and placed in suitable employment or whose family members have been placed in suitable employment","1. Of the employees / workers having suffered high consequence injuries / ill-health, the listed entity shall disclose the number of employees/ workers rehabilitated or placed in suitable employment during the reporting period. This disclosure can also include family members of the affected employees / workers, who have been placed in suitable employment. 2. ‘Rehabilitation’ refers to a process aimed at enabling persons with disabilities to attain and maintain optimal, physical, sensory, intellectual, psychological environmental or social function levels",Human Resource
5.19000000000001,Does the entity provide transition assistance programs to facilitate continued employability and the management of career endings resulting from retirement or termination of employment? (Yes/ No),"This disclosure provides insight into the scale of an organization’s investment in transition assistance programs to plan skills acquisition that equips employees to meet strategic targets in a changing work environment. For those facing retirement, confidence, & quality of work relations are improved by the knowledge that they are supported in their transition from work to retirement.The entity can disclose in Yes/No format whether it has such programs.",Human Resource
5.20000000000001,"Details on assessment of value chain partners on ""Health and safety practices"" and ""Working Conditions"" indicating % of value chain partners (by value of business done with such partners) that were assessed","Allows the entity to locate weak & strong spots in its value chain for futuristic risk management & strategy purposes. Also this aids the entity to find out how they can be addressed with tactics or rebalanced with the general management strategy.The entity shall disclose the percentage of value chain partners assessed with respect to 
health & safety practices as well as working conditions.",Secretarial
5.21000000000001,Provide details of any corrective actions taken or underway to address significant risks / concerns arising from assessments of health and safety practices and working conditions of value chain partners.,"To show how much the entity is concerned about assessment of health & safety risks across value chain partners & adheres to industry-wide principles/morals.The entity can disclose details of action/measures taken or underway by/for value chain 
partners to address risk/concerns during assessments.",Human Resource
6.1,Describe the processes for identifying key stakeholder groups of the entity,"Gives insight into the organization’s approach to identifying & engaging with various stakeholders.Under this field, the entity shall disclose the basis for determining stakeholders and determining the groups with whom to engage or not to engage",Group Level
6.2,"List stakeholder groups identified as key for your entity and the frequency of engagement with each stakeholder group.
- Stakeholder Group
- Whether identified as Vulnerable & Marginalized Group (Yes/No)
- Channels of communication (Email, SMS, Newspaper, Pamphlets, Advertisement, Community Meetings, Notice Board, Website), Other
- Frequency of engagement (Annually/ Half yearly/ Quarterly / others – please specify) 
- Purpose and scope of engagement including key topics and concerns raised during such engagement","1. The listed entity shall specify the channels of through which stakeholders can access relevant information and if applicable, whether such information is available in regional / local languages. 2. Vulnerable and Marginalized Groups refers to group of individuals who are unable to realize their rights or enjoy opportunities due to adverse physical, mental, social, economic, cultural, political, geographic or health circumstances. These groups in India can be identified on the basis, inter alia, of the following:  Gender and transgender (women, girls et al.)  Age (children, elderly et al.)  Descent/identity/ethnicity (caste, religion, scheduled castes, scheduled tribes, et al.)  Occupation (displaced, landless small / marginal farmers, migrant workers, et al.)  Persons with disability  Political or religious beliefs (Reference: National Guidelines for Responsible Business Conduct, available at the following link: https://www.mca.gov.in/Ministry/pdf/NationalG uildeline_15032019.pdf)
The entity is required to:
• Identify Stakeholder Groups
• Disclose if they are identified as Vulnerable & Marginalized Group (Weblink)
• Disclose channels of communication with them
• Disclose frequency of engagement (Annually/ Half yearly/ Quarterly / others)
• Disclose purpose & scope of engagement including key topics & concerns raised during 
such engagement
The entity shall specify the channels of through which stakeholders can access relevant 
information & can report how it takes into account potential barriers to stakeholder 
engagement (e.g., language & cultural differences, gender & power imbalances, divisions 
within a community or group). ",Group Level
6.3,"Provide the processes for consultation between stakeholders and the Board on economic, environmental, and social topics or if consultation is delegated, how is feedback from such consultations provided to the Board.","The entity shall disclose processes or methods of discussion/ consultation between stakeholders & the Board on economic, environmental, & social topics. Also the entity can disclose the methods of sharing feedback received during such consultation.",Group Level
6.4,"Whether stakeholder consultation is used to support the identification and management of environmental, and social topics (Yes / No). If so, provide details of instances as to how the inputs received from stakeholders on these topics were incorporated into policies and activities of the entity","The entity can indicate if stakeholder engagement is used to support the identification and management of environmental, and social topics. If so, the entity can disclose the key concerns that have been raised through stakeholder engagement and how the organization has responded to this concern, including through changes or modifications in its policies or in its activities.For each concern, the entity should mention the stakeholder group that raised the concern.",Group Level
6.5,"Provide details of instances of engagement with, and actions taken to, address the concerns of vulnerable/ marginalized stakeholder groups.","The entity can disclose the key concerns that have been raised through engagement with vulnerable/marginalized groups and how the organization has responded to this concern, including through changes or modifications in its policies or in its activities",Finance
7.1,"Employees and workers who have been provided training on human rights issues and policy(ies) of the entity, in the following format for current and previous FY.

- Total Number of Employee / Workers
- No. of employees / workers covered
- % Covered","Training programs on human rights issues and policies for employees and workers could include aspects of human rights that are relevant to operations, including the applicability of the human rights policies or procedures to the work done by employees / workers",Human Resource
7.2,"Details of minimum wages paid to employees and workers, in the following format for current and previous FY (Separate details for permanent / other than permanent and Male / Female employee and workers):
- Total Employee / Worker
- Number of employee / worker paid equal to Minimum Wage
- Number of employee / worker paid more than Minimum Wage","Measuring wages & salaries contributes in the standardization of an equitable wage & compensation structure, as well as an understanding of pay disparities across different sections of employees.The Entity shall disclose in terms of number & percentage, male & female 
employees & workers (permanent & contractual) who were paid:
• Equal to minimum wage 
• Above minimum wage
as prescribed for both Current & Previous year.",Human Resource
7.3,"Details of remuneration/salary/wages, in the following format:
- Board of Directors (BoD)
- Key Managerial Personnel
- Employees other than BoD and KMP
- Workers

3B - Gross wages paid to females as % of total wages paid by the entity, in the following format:","The entity shall disclose the median (a) Board Pay; (b) KMP Pay; (c) Employee Pay; (d) Worker Pay; bifurcated into male & female categories, for the current as well as the previous financial year.
Remuneration: As per Sec. 2(78) of Companies Act 2013, Remuneration means any money or its equivalent given or passed to any person for services rendered by him and includes perquisites as defined under the Income-Tax Act, 1961 (43 of 1961).
2. Salary: As per the Income Tax Act, 1961, salary includes:
i. wages,ii. any annuity or pension,iii. any gratuity,iv. any fees, commissions, perquisites or profits in lieu of or in addition to any 
salary or wages ,v. any advance of salary,vi. the annual accretion to the balance at the credit of an employee participating in a 
recognised provident fund, to the extent to which it is chargeable to tax under Rule 6 of Part `A' of the Fourth Schedule; and
vii. the aggregate of all sums that are comprised in the transferred balance as referred to in sub-rule (2) of Rule 11 of Part A of the Fourth Schedule of an employee participating in a recognised provident fund, to the extent to which it is chargeable to tax under sub-rule (4) thereof Ref_x0002_https://www.incometaxindia.gov.in/Acts/Income_x0002_tax%20Act,%201961/1968/102120000002035669.htm
Wages: As per Sec 2(y) of the Code on Wages, 2019, Wages means all remuneration whether by way of salaries, allowances or 
otherwise, expressed in terms of money or capable of being so expressed which would, if the terms of employment, express or 
implied, were fulfilled, be payable to a person employed in respect of his employment or of work done in such employment, and 
includes: i. basic pay,ii. dearness allowance,iii. retaining allowance, if any, but does not include 
a. any bonus payable under any law for the time being in force, which does not form part of the remuneration payable under the terms of employment
b. the value of any house-accommodation, or of the supply of light, water, medical attendance or other amenity or of any 
service excluded from the computation of wages by a general or special order of the appropriate Government
c. any contribution paid by the employer to any pension or provident fund, and the interest which may have accrued thereon
d. any conveyance allowance or the value of any travelling concession
e. any sum paid to the employed person to defray special expenses entailed on him by the nature of his employment
f. house rent allowance
g. remuneration payable under any award or settlement between the parties or order of a court or Tribunal
h. any overtime allowances
i. any commission payable to the employee
j. any gratuity payable on the termination of employment
k. any retrenchment compensation or other retirement benefit payable to the employee or any ex gratia payment made to him on the termination of employment",Human Resource
7.4,Do you have a focal point (Individual/ Committee) responsible for addressing human rights impacts or issues caused or contributed to by the business? (Yes/No),Indicates the seriousness with which human rights issues are looked at & investigated.The entity shall disclose in Yes/No format with appropriate links to public content,Human Resource
7.5,Describe the internal mechanisms in place to redress grievances related to human rights issues. ,"It enable stakeholders to know how they can raise concerns about, & seek remedy for, the organization’s potential & actual negative impacts on them, also it shows an organization's commitment to remediate its negative impacts.The entity shall disclose working of the internal mechanisms in place to redress grievance/complaints related to human rights issues.",Human Resource
7.6,"Number of Complaints on the following made by employees and workers for current and previous FY (Filled during the year; Pending for resolution and Remarks):
- Sexual Harassment
- Discrimination at workplace
- Child Labour Forced 
- Labour/Involuntary Labour
- Wages 
- Other human rights related \ issues","1. ‘Sexual Harassment’ includes any one or more of the following unwelcome acts or behaviour (whether directly or by implication) namely: i. physical contact and advances ii. a demand or request for sexual favours iii. making sexually coloured remarks iv. showing pornography v. any other unwelcome physical, verbal or non-verbal conduct of sexual nature 2. ‘Discrimination’ refers to unjust or prejudicial treatment of people, especially on the grounds of, but not limited to, caste, creed, sex, race, ethnicity, age, colour, religion, disability, socio-economic status or sexual orientation. 3. As per Sec 2(ii) of the Child Labour (Prohibition & Regulation) Act, 1986 (as amended), ‘Child’ means a person who has not completed is 14th year of age. It prohibits the employment of adolescents in the age group of 14 to 18 years in hazardous occupations and processes and regulates their working conditions where they are not prohibited.
2. ‘Forced Labour’ or ‘Involuntary Labour’ refers to all work or service that is extracted under the menace of penalty. It also includes terms such as, bonded labour and modern slavery.It also includes any labour for which the worker receives less than the government_x0002_stipulated minimum wage.",Human Resource
7.7,"Complaints filed under the Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013, in the format provided","a. Total Complaints on Sexual Harassment (POSH) reported 
b. Complaints on POSH as a % of female employees / workers
c. Complaints on POSH upheld",Human Resource
7.8,Mechanisms to prevent adverse consequences to the complainant in discrimination and harassment cases.,The entity must disclose the working/ mechanisms/methods in place to prevent adverse consequences of such complaints,Human Resource
7.9,Do human rights requirements form part of your business agreements and contracts? (Yes/No),Shows the commitment of an entity to protect the human rights of its stakeholders.The entity shall disclose in Yes/No format with appropriate links to public content,Finance
7.1,"Assessments for the year on Child labour, Forced/involuntary labour, Sexual harassment, Discrimination at workplace, Wages, Others – please specify on % of your plants and offices that were assessed (by entity or statutory authorities orthird parties)",The entity shall disclose such data in percentage - plants & offices that were assessed for above mentioned incidents,Human Resource
7.11,Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments at Question 9 above.,The entity shall provide details of any corrective actions taken or underway to address significant risks relating to Human Rights in any form.,Human Resource
7.12,Details of a business process being modified / introduced as a result of addressing human rights grievances/complaints.,The entity can disclose any new amendments/modification in existing policy/rules & regulation/processing as result of any human rights grievance/complaints,Human Resource
7.13,Details of the scope and coverage of any Human rights due-diligence conducted.,The entity can disclose brief details of any due diligence conducted including the scope & extent/coverage of any/all human rights issues/topics.,Human Resource
7.14,"Is the premise/office of the entity accessible to differently abled visitors, as per the requirements of the Rights of Persons with Disabilities Act, 2016?","Ensuring that the office/premises of the company are accessible to differently abled visitors.Accessibility refers to physical accessibility such as wheelchair ramps, braille signage and accessible restrooms, and digital accessibility, where information and communication technology is accessible to all and/or compatible with assistive technology devices.",Human Resource
7.15,"Assessments of Value Chain Partners for the year on Child labour, Forced/involuntary labour, Sexual harassment, Discrimination at workplace, Wages, Others – please specify on % of your plants and offices that were assessed (by entity or statutory authorities orthird parties)","The entity shall disclose percentage of value chain partners that were assessed for each of the type of incidents, i.e. Sexual Harassment, Discrimination at workplace, Child Labour, Forced Labour/Involuntary Labour, Wages & Others.",Secretarial
7.16,Provide details of any corrective actions taken or underway to address significant risks / concerns arising from the assessments above.,The entity shall disclose details of any corrective actions taken or underway to address significant risks concerning human rights incidents.,Secretarial
8.1,"Provide break-up of the total energy consumed (in Joules or multiples) from renewable and non-renewable sources, in the following format for current and previous FY:
- From renewable sources
Total electricity consumption (A)
Total fuel consumption (B)
Energy consumption through other sources (C)
Total energy consumed from renewable sources (A+B+C)
- From non-renewable sources
Total electricity consumption (D)
Total fuel consumption (E)
Energy consumption through other sources (F)
Total energy consumed from non-renewable sources (D+E+F)","1. The entity shall report the total electricity consumed, fuel consumed and energy consumed from other sources during the reporting period, as applicable. Entities may also specify the other sources, in case the same are significant. 2. Energy can be purchased from sources external to the organization or produced by the organization itself (self-generated). If the organization generates electricity from a non-renewable or renewable fuel source and then consumes the generated electricity, the energy consumption shall be counted only once. 3. The above data shall be reported in terms of Joules or multiples such as Giga Joules. Entities should consistently apply conversion factors, for converting fuel consumption into Joules, for the data disclosed. In case, different standards and methodologies are used, the same should be disclosed. Entities should also disclose any contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, assumptions and/or calculation tools used. 4. Energy intensity per rupee of turnover shall be calculated as the total energy consumed divided by the total turnover in rupees. 5. Apart from turnover, entities may on a voluntary basis, provide energy intensity ratio, based on other metrics, such as: • units of product; • production volume (such as metric tons, litres, or MWh); • size (such as m2 floor space); • number of full-time employees",Admin
8.2,"Does the entity have any sites / facilities identified as designated consumers (DCs) under the Performance, Achieve and Trade (PAT) Scheme of the Government of India? (Y/N) If yes, disclose whether targets set under the PAT scheme have been achieved. In case targets have not been achieved, provide the remedial action taken, if any","Perform Achieve and Trade (PAT) scheme (“Scheme”) has been launched by Bureau of Energy Efficiency under the National Mission for Enhanced Energy Efficiency (NMEEE) [details available at the following link: https://beeindia.gov.in/content/pat-3]. Under the Scheme, certain sites / facilities are identified as designated consumers and targets are set for such entities in related to the energy consumption.The entity shall disclose in Yes/No format if it has any sites/facilities identified as designated consumers (DCs) under the Performance, Achieve, & Trade (PAT) Scheme, & if yes, disclose whether targets set under the scheme have been achieved. If not, disclose reasons for & remedial actions taken.",Finance
8.3,"Provide details of the following disclosures related to water, in the following format for current and previous FY:
Water withdrawal by source (in kilolitres)
(i) Surface water
(ii) Groundwater
(iii) Third party water
(iv) Seawater / desalinated water
(v) Others 
Total volume of water withdrawal (in kilolitres) (i + ii + iii + iv + v)
Total volume of water consumption (in kilolitres)
Water intensity per rupee of turnover (Water consumed / turnover)
Water intensity (optional) – the relevant metric may be selected by the entity","1. The entity shall report the total water withdrawn for any use, along-with a break-up of its source into the following:  Surface water- refers to water that occurs naturally on the Earth’s surface in ice sheets, ice caps, glaciers, icebergs, bogs, ponds, lakes, rivers, and streams  Ground water – refers to water that is being held in, and that can be recovered from, an underground formation  Third party water – refers to municipal water and other private suppliers of water  Sea-water / desalinated water – refers to water in a sea or ocean  Other sources - Entities may specify the other sources, in case the same are significant. 2. The entity shall report the total water consumption. Total water consumption is a measure of water used by an organization, that it is no longer available for use by the ecosystem or local community, such as water that has been withdrawn and incorporated into products or has evaporated or is polluted to the point of being unusable by other users, and is therefore not released back to surface water, groundwater, seawater, or a third party. It also includes water that has been stored during the reporting period for use or discharge in a subsequent reporting period. If the entity cannot directly measure its water consumption, it may calculate this using the following formula: Total water consumption = Total water withdrawal – total water discharge. 3. Water intensity per rupee of turnover shall be calculated as the total water consumed divided by the total turnover in rupees. 4. Apart from turnover, entities may on a voluntary basis, provide water intensity ratio, based on other metrics, such as: • units of product; • production volume (such as metric tons, litres, or MWh); • size (such as m2 floor space); • number of full-time employees
5. Entities should also disclose any contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, assumptions and/or calculation tools used.",Admin
8.4,"Provide the following details related to water discharged:
Water discharge by destination and level of treatment (in kilolitres)
(i) Surface water
     - No treatemnt
     - With treatment – please specify level of
        treatment 
(ii) To Groundwater
     - No treatemnt
     - With treatment – please specify level of
        treatment 
(iii) To Seawater
     - No treatemnt
     - With treatment – please specify level of
        treatment 
(iv) Sent to third-parties
     - No treatemnt
     - With treatment – please specify level of
        treatment 
(v) Others
     - No treatemnt
     - With treatment – please specify level of
        treatment
Total Water Discharged (in Klilolitres) ","1. The entity shall report the total water discharged i.e.  the total effluents, water released (unused or after  use) for which the organization has no further use,  along-with a break-up by destination (to surface  water, groundwater, seawater, sent to third parties  or others – refer the guidance at Question 3 of  Essential indicators under P6) and by level of  treatment.     

2. The organization can break down its water discharge  by the following treatment levels:   
- Primary treatment, which aims to remove solid  substances that settle or float on the water  surface;   
- Secondary treatment, which aims to remove  substances and materials that have remained in  the water, or are dissolved or suspended in it;   
- Tertiary treatment, which aims to upgrade water  to a higher level of quality before it is discharged.  It includes processes that remove, for example,  heavy metals, nitrogen, and phosphorus.   In case an organization withdraws and discharges  water of good quality that does not require  treatment, the same can be explained.      

Water Discharge by destination and levels of Treatment:
1. Untreated Water 
2. Primary Treatment (Removal of material that floats or settle out i.e Filtration, Screening, Sedimentation etc.) 
3. Secondary Treatment (Removal of Dissolved organic Matter i.e. Oxidation, Digestion etc.) 
4. Tertiary Treatment (Disinfecting Water 
i.e. removal of pathogens, Phosphorous, Nitrogen etc.) 

3. Entities should also disclose any contextual  information necessary to understand how the data has been compiled, such as any standards, methodologies, assumptions and/or calculation tools used. ",Admin
8.5,"Has the entity implemented a mechanism for Zero Liquid Discharge? If yes, provide details of its coverage and implementation.","A  zero liquid discharge system involves using advanced waste-water treatment technologies to recycle, recover and then re-use the treated waste-water; towards ensuring that there is not discharge of the waste-water to the environment.",Admin
8.6,"Please provide details of air emissions (other than GHG emissions) by the entity, in the following format for current and previous FY:
NOx
SOx
Particulate matter (PM)
Persistent organic pollutants (POP)
Volatile organic compounds (VOC)
Hazardous air pollutants (HAP)
Others – please specify","Entities should disclose any contextual information necessary to understand how the data has been compiled, such as any standards, methodologies, assumptions and/or calculation tools used",Admin
8.7 / 4.2,"Provide details of greenhouse gas emissions (Scope 1 and Scope 2 emissions) & its intensity, in the following format for current and previous FY:
Total Scope 1 emissions (Break-up of the GHG into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, if available)in Metric tonnes of CO2 equivalent
Total Scope 2 emissions (Break-up of the GHG into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, if available) in Metric tonnes of CO2 equivalent
Total Scope 1 and Scope 2 emissions per rupee of turnover
Total Scope 1 and Scope 2 emission intensity (optional)– the relevant metric may be selected by the entity","1. The term ‘green-house gas’ covers the following gases:  Carbon dioxide (CO2), Methane (CH4), Nitrous oxide (N2O) ,Hydrofluorocarbons (HFCs), Perfluorocarbons (PFCs), Sulphur hexafluoride (SF6), Nitrogen trifluoride (NF3)
 2. Scope 1 emissions are direct GHG emissions from sources that are owned or controlled by the entity. Source refers to any physical unit or process that releases GHG into the atmosphere. Further, any emissions that are not physically controlled but result from intentional or unintentional releases of GHGs, such as equipment leakages, methane emissions (eg: from coal mines), shall also be included in the calculations.
 3. Scope 2 emissions are energy indirect emissions that result from the generation of purchased or acquired electricity, heating, cooling, and steam consumed by the entity.
 4. Entities may, on a voluntary basis, provide a break_x0002_up of the Scope 1 and Scope 2 emissions into CO2, CH4, N2O, HFCs, PFCs, SF6, NF3.
 5. The entity shall exclude any GHG trades (purchase, sale or transfer of GHG emissions) from the calculation of Scope 1 and Scope 2 GHG emissions.
6. The unit for the disclosures shall be metric tonnes of CO2 equivalent. Further, entities should disclose the standards, methodologies, assumptions and/or calculation tools used, including sources of the global warming potential (GWP) rates and emission factors used.
7. Scope 1 and Scope 2 emission intensity per rupee of turnover shall be calculated as the total Scope 1 and 
Scope 2 emissions generated divided by the total turnover in rupees. 
8. Apart from turnover, entities may on a voluntary basis, provide Scope 1 and Scope 2 GHG emission intensity ratio, based on other metrics, such as:
• units of product; 
• production volume (such as metric tons, 
litres, or MWh); 
• size (such as m2 floor space); 
• number of full-time employees",Admin
8.8,"Does the entity have any project related to reducing Green House Gas emission? If Yes, then provide details.","The reporting organization can prioritize disclosing reduction initiatives that were implemented in the reporting period, & that have the potential to contribute significantly to reductions. Reduction initiatives can include: process redesign; conversion & retrofitting of equipment; fuel switching; changes in behaviour; offsets, etc.",Admin
